"","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"11","10.1177/1948550616663803","Spontaneous trait inferences on social media","spontaneous trait inferences on social media",28,"A Levordashka, S Utz",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616663803","https://scholar.google.com/scholar?cites=829972573762027744&as_sdt=2005&sciodt=0,5&hl=en",66,2023-09-25 10:59:19,NA,NA,28,4.67,14,2,6,"The present research investigates whether spontaneous trait inferences occur under conditions characteristic of social media and networking sites: nonextreme, ostensibly self …","https://journals.sagepub.com/doi/pdf/10.1177/1948550616663803","https://scholar.google.com/scholar?q=related:4ABnkKinhAsJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"12","10.1177/1948550616664955","Income inequality, life satisfaction, and economic worries","income inequality, life satisfaction, and economi…",67,"B Roth, E Hahn, FM Spinath",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616664955","https://scholar.google.com/scholar?cites=9955858640884585870&as_sdt=2005&sciodt=0,5&hl=en",36,2023-09-25 10:59:19,NA,NA,67,11.17,22,3,6,"We analyzed the effect of income inequality on Germans' life satisfaction considering factors explaining the mechanism of this relationship. Based on data from the German Socio …",NA,"https://scholar.google.com/scholar?q=related:jtXte69QKooJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"13","10.1177/1948550616664956","Female Dominance in Human Groups: Effects of sex ratio and conflict level","female dominance in human groups: effects of sex …",10,"K Stroebe, BA Nijstad…",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616664956","https://scholar.google.com/scholar?cites=964959434723151283&as_sdt=2005&sciodt=0,5&hl=en",92,2023-09-25 10:59:19,NA,NA,10,1.67,3,3,6,"Compared to men, women less often attain high-level positions and generally have lower status in society. In smaller groups, the relative influence of men and women depends on …","https://research.rug.nl/files/51413046/Female_Dominance_in_Human_Groups.pdf","https://scholar.google.com/scholar?q=related:s81VSX45ZA0J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"14","10.1177/1948550616664957","The behavioral immune system and attitudes about vaccines: Contamination aversion predicts more negative vaccine attitudes","the behavioral immune system and attitudes about …",62,"R Clay",2017,"Social Psychological and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616664957","https://scholar.google.com/scholar?cites=370880537734204642&as_sdt=2005&sciodt=0,5&hl=en",35,2023-09-25 10:59:19,NA,NA,62,10.33,62,1,6,"The present research utilized evolutionary theory to examine the relation between the behavioral immune system (ie, disgust sensitivity) and attitudes about vaccines. The findings …",NA,"https://scholar.google.com/scholar?q=related:4szAUeKhJQUJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"15","10.1177/1948550616667611","Light bulbs or seeds? How metaphors for ideas influence judgments about genius","light bulbs or seeds? how metaphors for ideas inf…",70,"KC Elmore, M Luna-Lucero",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667611","https://scholar.google.com/scholar?cites=7213234834697413406&as_sdt=2005&sciodt=0,5&hl=en",32,2023-09-25 10:59:19,NA,NA,70,11.67,35,2,6,"Ideas are commonly described using metaphors; a bright idea appears like a “light bulb” or the “seed” of an idea takes root. However, little is known about how these metaphors may …",NA,"https://scholar.google.com/scholar?q=related:HuOcY92OGmQJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"16","10.1177/1948550616667612","Hope comes in many forms: Out-group expressions of hope override low support and promote reconciliation in conflicts","hope comes in many forms: out-group expressions o…",30,"S Cohen-Chen, RJ Crisp…",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667612","https://scholar.google.com/scholar?cites=3051408632149121767&as_sdt=2005&sciodt=0,5&hl=en",69,2023-09-25 10:59:19,NA,NA,30,5,10,3,6,"In conflicts, political attitudes are based to some extent on the perception of the out-group as sharing the goal of peace and supporting steps to achieve it. However, intractable conflicts …","https://publications.aston.ac.uk/id/eprint/28940/1/Outgroup_expressions_of_hope_reconciliation_in_conflicts.pdf","https://scholar.google.com/scholar?q=related:5xrP3_vHWCoJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"17","10.1177/1948550616667613","Do easterners and westerners differ in visual cognition? A preregistered examination of three visual cognition tasks","do easterners and westerners differ in visual cog…",30,"N Hakim, DJ Simons, H Zhao…",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667613","https://scholar.google.com/scholar?cites=14903357337128773066&as_sdt=2005&sciodt=0,5&hl=en",67,2023-09-25 10:59:19,NA,NA,30,5,8,4,6,"When performing cognitive tasks, Easterners often process information more holistically and contextually than Westerners. This is often taken as evidence for fundamental differences in …","https://www.researchgate.net/profile/Nicole-Hakim/publication/308536086_Do_Easterners_and_Westerners_Differ_in_Visual_Cognition_A_Preregistered_Examination_of_Three_Visual_Cognition_Tasks/links/5dd31d23a6fdcc7e138d2918/Do-Easterners-and-Westerners-Differ-in-Visual-Cognition-A-Preregistered-Examination-of-Three-Visual-Cognition-Tasks.pdf","https://scholar.google.com/scholar?q=related:yqVFaIlc084J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"18","10.1177/1948550616667614","The positive effects of status conflicts in teams where members perceive status hierarchies differently","the positive effects of status conflicts in teams…",35,"C Bendersky, NA Hays",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667614","https://scholar.google.com/scholar?cites=1925393273866311871&as_sdt=2005&sciodt=0,5&hl=en",62,2023-09-25 10:59:19,NA,NA,35,5.83,18,2,6,"Status conflicts, conflicts about members' relative positions in a team's status hierarchy, generally harm group performance. We integrate research on status conflicts and social …",NA,"https://scholar.google.com/scholar?q=related:v1i6PfteuBoJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"19","10.1177/1948550616667615","Lay belief in biopolitics and political prejudice","lay belief in biopolitics and political prejudice",23,"E Suhay, MJ Brandt, T Proulx",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667615","https://scholar.google.com/scholar?cites=14481722645962483873&as_sdt=2005&sciodt=0,5&hl=en",79,2023-09-25 10:59:19,NA,NA,23,3.83,8,3,6,"Building on psychological research linking essentialist beliefs about human differences with prejudice, we test whether lay belief in the biological basis of political ideology is associated …","https://orca.cardiff.ac.uk/id/eprint/97430/1/Suhay%252C%20Proulx%20%2526%20Brandt%252C%202016.pdf","https://scholar.google.com/scholar?q=related:oehS4ARq-cgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"20","10.1177/1948550616667616","This isn't the free will worth looking for: General free will beliefs do not influence moral judgments, agent-specific choice ascriptions do","this isn't the free will worth looking for: gener…",85,"AE Monroe, GL Brady, BF Malle",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667616","https://scholar.google.com/scholar?cites=5288438564981240171&as_sdt=2005&sciodt=0,5&hl=en",26,2023-09-25 10:59:19,NA,NA,85,14.17,28,3,6,"According to previous research, threatening people's belief in free will may undermine moral judgments and behavior. Four studies tested this claim. Study 1 used a Velten technique to …","https://research.clps.brown.edu/SocCogSci/Publications/Pubs/Monroe_Brady&Malle%20(2016)%20Not%20the%20free%20will%20worth%20looking%20for.pdf","https://scholar.google.com/scholar?q=related:a_EuAttOZEkJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"21","10.1177/1948550616667617","The liberal and conservative experience across academic disciplines: An extension of Inbar and Lammers","the liberal and conservative experience across ac…",171,"N Honeycutt, L Freberg",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667617","https://scholar.google.com/scholar?cites=15586962953977393389&as_sdt=2005&sciodt=0,5&hl=en",12,2023-09-25 10:59:19,NA,NA,171,28.5,86,2,6,"Inbar and Lammers asked members of APA Division 8 (personality and social psychology) about their political orientation, hostility experienced related to their political orientation, and …","https://www.researchgate.net/profile/Laura-Freberg/publication/308181149_The_Liberal_and_Conservative_Experience_Across_Academic_Disciplines_An_Extension_of_Inbar_and_Lammers/links/5aad7af30f7e9b4897be9939/The-Liberal-and-Conservative-Experience-Across-Academic-Disciplines-An-Extension-of-Inbar-and-Lammers.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:7fD-LjkEUNgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"22","10.1177/1948550616667618","Material meaning: Narcissists gain existential benefits from extrinsic goals","material meaning: narcissists gain existential be…",43,"AA Abeyta, C Routledge…",2017,"… and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616667618","https://scholar.google.com/scholar?cites=14630423146440059389&as_sdt=2005&sciodt=0,5&hl=en",53,2023-09-25 10:59:19,NA,NA,43,7.17,14,3,6,"The present research examined how narcissism is related to perceptions of meaning derived from distinct types of life goals, namely, extrinsic and intrinsic. Although in most …","https://eprints.soton.ac.uk/399996/1/__filestore.soton.ac.uk_users_gg_mydocuments_constantine%2520publications%2520pdf%2527s_In%2520press%25202016_Abeyta%252C%2520Routledge%252C%2520%2526%2520Sedikides%252C%2520in%2520press%252C%2520SPPS.docx","https://scholar.google.com/scholar?q=related:_Wk2HVa0CcsJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"23","10.1177/1948550616671401","The “holding-out” effect: How regulatory focus influences preference formation for sequentially presented choice alternatives","the “holding-out” effect: how regulatory focus in…",8,"O Bullard, RV Manchanda…",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671401","https://scholar.google.com/scholar?cites=13062651984847208062&as_sdt=2005&sciodt=0,5&hl=en",93,2023-09-25 10:59:19,NA,NA,8,1.33,3,3,6,"This research examines the influence of regulatory focus on preference formation for sequentially presented choice alternatives. Across three experiments, we demonstrate the …",NA,"https://scholar.google.com/scholar?q=related:fn5edcXcR7UJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"24","10.1177/1948550616671402","Desperately seeking support: Negative reinforcement schedules in the formation of adult attachment associations","desperately seeking support: negative reinforceme…",47,"L Beckes, K Simons, D Lewis, A Le…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671402","https://scholar.google.com/scholar?cites=9133151329059933849&as_sdt=2005&sciodt=0,5&hl=en",44,2023-09-25 10:59:19,NA,NA,47,7.83,9,5,6,"Much is unknown about adult attachment style formation. We investigate whether negative reinforcement schedules promote hallmark features of secure and anxious attachment styles …","https://osf.io/7sujx/download","https://scholar.google.com/scholar?q=related:mQ6BiL54v34J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"25","10.1177/1948550616671403","Extreme political beliefs predict dogmatic intolerance","extreme political beliefs predict dogmatic intole…",125,"JW van Prooijen, APM Krouwel",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671403","https://scholar.google.com/scholar?cites=13020113232794836490&as_sdt=2005&sciodt=0,5&hl=en",19,2023-09-25 10:59:19,NA,NA,125,20.83,63,2,6,"Dogmatic intolerance—defined as a tendency to reject, and consider as inferior, any ideological belief that differs from one's own—is often assumed to be more prominent at the …",NA,"https://scholar.google.com/scholar?q=related:Cl4ZcAC8sLQJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"26","10.1177/1948550616671404","Of mannequins and men: Ascriptions of mind in faces are bounded by perceptual and processing similarities to human faces","of mannequins and men: ascriptions of mind in fac…",29,"JC Deska, SM Almaraz…",2017,"… and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671404","https://scholar.google.com/scholar?cites=16739760479025766361&as_sdt=2005&sciodt=0,5&hl=en",68,2023-09-25 10:59:19,NA,NA,29,4.83,10,3,6,"Recent research has demonstrated that ascribing minds to humanlike stimuli is a product of both their perceptual similarity to human faces and whether they engaged configural face …","https://www.researchgate.net/profile/Jason-Deska-2/publication/307204900_Of_Mannequins_and_Men_Judgments_of_Animacy_in_Faces_are_Bounded_by_Perceptual_and_Processing_Similarities_to_Human_Faces/links/5c1818e94585157ac1ca098c/Of-Mannequins-and-Men-Judgments-of-Animacy-in-Faces-are-Bounded-by-Perceptual-and-Processing-Similarities-to-Human-Faces.pdf","https://scholar.google.com/scholar?q=related:2R908XaTT-gJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"27","10.1177/1948550616671405","Multilevel intergroup contact and antigay prejudice (explicit and implicit) evidence of contextual contact benefits in a less visible group domain","multilevel intergroup contact and antigay prejudi…",46,"CC MacInnis, E Page-Gould…",2017,"… and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671405","https://scholar.google.com/scholar?cites=7962038099887511928&as_sdt=2005&sciodt=0,5&hl=en",46,2023-09-25 10:59:19,NA,NA,46,7.67,15,3,6,"Intergroup contact at the individual level is robustly associated with lower prejudice, but intergroup contact occurs within a greater regional context. Multilevel examinations thus far …","https://psyarxiv.com/d6zc7/download?format=pdf","https://scholar.google.com/scholar?q=related:eNnrl3fXfm4J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"28","10.1177/1948550616671997","Improving girls' sense of fit in science: Increasing the impact of role models","improving girls' sense of fit in science: increas…",74,"LT O'Brien, A Hitti, E Shaffer…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671997","https://scholar.google.com/scholar?cites=5344503555725458862&as_sdt=2005&sciodt=0,5&hl=en",29,2023-09-25 10:59:19,NA,NA,74,12.33,19,4,6,"A field experiment tested the effect of choosing a “favorite” role model on sense of fit in science among middle school girls. The girls participated in a 1-day science outreach event …","https://drive.google.com/file/d/19ynMhQiWnN785cCn3e2lZlpXmpAWAhwE/view","https://scholar.google.com/scholar?q=related:rv3T46p9K0oJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"29","10.1177/1948550616671998","Real men don't say “cute” using automatic language analysis to isolate inaccurate aspects of stereotypes","real men don't say “cute” using automatic languag…",38,"J Carpenter, D Preotiuc-Pietro…; C Jordan, PP Daniel",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671998","https://scholar.google.com/scholar?cites=812006708550254830&as_sdt=2005&sciodt=0,5&hl=en",63,2023-09-25 10:59:19,NA,NA,36,6,12,3,6,"People associate certain behaviors with certain social groups. These stereotypical beliefs consist of both accurate and inaccurate associations. Using large-scale, data-driven …","https://www.academia.edu/download/77770978/cutespss.pdf","https://scholar.google.com/scholar?q=related:7kBfmszTRAsJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"30","10.1177/1948550616671999","An asymmetric moral conformity effect: Subjects conform to deontological but not consequentialist majorities","an asymmetric moral conformity effect: subjects c…",58,"DH Bostyn, A Roets",2017,"Social Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616671999","https://scholar.google.com/scholar?cites=12989090773608427400&as_sdt=2005&sciodt=0,5&hl=en",39,2023-09-25 10:59:19,NA,NA,58,9.67,29,2,6,"The present study investigated whether and to what extent people's judgments on trolley-type moral dilemmas are subject to conformity pressures. Trolley dilemmas contrast …","https://www.researchgate.net/profile/Dries-Bostyn/publication/308737680_An_Asymmetric_Moral_Conformity_Effect/links/5bb6f882299bf1049b6f80b5/An-Asymmetric-Moral-Conformity-Effect.pdf","https://scholar.google.com/scholar?q=related:iO87TD2FQrQJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"31","10.1177/1948550616672000","When does men's hostile sexism predict relationship aggression? The moderating role of partner commitment","when does men's hostile sexism predict relationsh…",70,"EJ Cross, NC Overall, MD Hammond…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616672000","https://scholar.google.com/scholar?cites=16899194977787104407&as_sdt=2005&sciodt=0,5&hl=en",34,2023-09-25 10:59:19,NA,NA,70,11.67,18,4,6,"Hostile sexism encompasses aggressive attitudes toward women who contest men's power and suspicions that women will manipulate men by exploiting their relational dependence …","https://www.researchgate.net/profile/Emily-Cross-6/publication/309300329_When_Does_Mens_Hostile_Sexism_Predict_Relationship_Aggression_The_Moderating_Role_of_Partner_Commitment/links/59d5290b458515140ee43efd/When-Does-Mens-Hostile-Sexism-Predict-Relationship-Aggression-The-Moderating-Role-of-Partner-Commitment.pdf","https://scholar.google.com/scholar?q=related:l8wQ6UsAhuoJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
